B aaa
C1#CC2CCOc3ccc(cc32)CC2CC3CCCC(Cc4ccc5c(c4)CCC(=C(CC1)CO2)CC5)C3 aeF
C1#CC2CCOc3ccc(cc32)CC2CC3CCCC(Cc4cccc(c4)CCC=C(CC1)CO2)C3 aeG
C1#CC2CCOc3ccc(cc32)CC2OCC(=C3CCc4ccc(cc4CC3)CC3CCCC4C3CCCC24)CC1 aeH
C1#CC2CCOc3ccc(cc32)CC2OCC(=CCCc3cccc(c3)CC3CCC4C=CC5C6CCCCC6C2C4C35)CC1 aeI
C1#CC2CCOc3ccc(cc32)CC2OCC(=CCCc3cccc(c3)CC3CCC4C=CC5CCC2C4C53)CC1 aeJ
C1#CC2CCOc3ccc(cc32)CC2OCC(=CCCc3cccc(c3)CC3CCC4CCC5CCC2C4C53)CC1 aeK
C1#CC2CCOc3ccc(cc32)CC2OCC(=CCCc3cccc(c3)CC3CCCC4C3CCCC24)CC1 aeL
C1#CC2CCOc3ccc(cc32)CCOCCCC1 aeM
C1#CC2CCOc3ccc4c(c32)C(CCC1)CCC4 aeN
C1#CC2CCc3cc(c4c5c(ccc2c35)CC=C4)COc2cccc(c2)CCCCCO1 aeO
C1#CC2CCc3cc(cc4cccc2c34)COc2cccc(c2)CCCCCO1 aeP
C1#CC2CN(CCN2)c2[nH]ccc2-c2cccc(c2)CC1 aeQ
C1#CC2CN(CCN2)c2nc[cH-]c2-c2cccc(c2)CC1 aeR
C1#CC2CNC34CCC(CCCCC1)C2C31CCC2CC1C1(C=CCC2C1)CC4 aeS
C1#CC2CNC34CCC56C=CCC(C5)C5CCC37C2C(CCCCC1)CC4C=CC67C5 aeT
C1#CC2CNC34CCC5CCC6CCC3(C5C6)C2C(CCCCC1)CC4 aeU
C1#CC2CNC34CCC5CCC6CCC37C2C(CCCCC1)CC4C=CC57C6 aeV
C1#CC2CNC34CCCC56C=CC3CC(CCCCC1)C2C54CCCC6 aeW
C1#CC2CNC34CCCC5C=CCCC53C2C(CCCCC1)CC4 aeX
C1#CC2CNC34CCCC5CCCCC53C2C(CCCCC1)CC4 aeY
C1#CC2CNC3C=CC4CCC(OC5CCOC6=C5C=C(CC6)OC1)C24N3 aeZ
C1#CC2CNC3CCC(CCCCC1)C2C3 afa
C1#CC2CNC3CCC4CCC(OC5CCOC6=C5C=C(CC6)OC1)C24N3 afb
C1#CC2CNCNC23CCCC3OC2CCOC3=C2C=C(CC3)OC1 afc
C1#CC2CNCNC23CCCCC3OC2CCOC3=C2C=C(CC3)OC1 afd
C1#CC2COCC(CNCCC1)C2 afe
C1#CC2Cc3cccc(c3)CCC3C=Cc4ccc(c1c4N3)CCC1CCCC3(CCC2C3)C1 aff
C1#CC2Cc3cccc(c3)CCCNc3cccc(c31)CCC1CCCC3(CCC2C3)C1 afg
C1#CC2NCCN3C=Cc4cccc(c4)CC1C=COCCCc1ccc(cc1)CC23 afh
C1#CC2NCCN3C=Cc4cccc(c4)CC1CCOCCCc1ccc(cc1)CC23 afi
C1#CC2Oc3cccc(c3)CCCNCC(=C1)C#CC1=CCCC12 afj
C1#CC2Oc3cccc(c3)CCCNCC=C(C#CC3=CCCC32)C1 afk
C1#CCC#C[CH-]1 afl
C1#CCC(C23CCC4CC2C2(C=CCC4C2)CC[CH2:2]3)CCCCCC1 afm
C1#CCC(C23CCC4CCC(CC[CH2:2]2)C3C4)CCCCCC1 afn
C1#CCC(C2CCCC2)NCNCCC1 afo
C1#CCC2(c3ccoc3)OCCC3C(CC1)CCCC32 afp
C1#CCC2(c3coc[cH:2]3)OCCC3C(CC1)CCCC32 afq
C1#CCC23C4C=CC5CCCC52CC(CC1)CC3CCC4 afr
C1#CCC23C=C4CCC5CCC6CCC5(C6C1)C4N1CC12CCC3 afs
C1#CCC23C=CC(CCC1)N1CC12CCC3 aft
C1#CCC23CC=C4CC(C1)CCC41C=CCCC21CCCC3 afu
C1#CCC23CC=CC45C=C6C(=CC=CC6C(C=C(C6CCC[CH2:2]6)C4)(CCC2)C53)CC1 afv
C1#CCC23CCC4(CC1)CCC1CCC5(CCCC=C5C12C4)CC3 afw
C1#CCC23CCCC(C#CC=C1)C2=CCCS3 afx
C1#CCC23CCCC2C2=CCC(C1)C1CCC=CC(C3)C21 afy
C1#CCC23CCCC2C2=CCC(C1)CC2CC3 afz
C1#CCC23CCCC2C2CCC(C1)CC2CC3 afA
C1#CCC23CCCCC2CC(CC1)CC3 afB
C1#CCC23NCCCC2CCCC3OC2CCOC3=C2C=C(CC3)OC1 afC
C1#CCC2=C(NCC2)C2=C3C=CC4CCC(C(CCCCOCC1)CC2)C3C4 afD
C1#CCC2=CCCC=C2Cc2cccc(c2)C=C1 afE
C1#CCC2C#CCCC(CCCC1)C1CC=CC(C2)C1 afF
C1#CCC2C#CCCC(CCCC1)CCCC2 afG
C1#CCC2C#CCCC3C(CCC1)CCCC3CCC2 afH
C1#CCC2C3C=CCC4C3CCC2C2C(CC1)CCC42 afI
